family,side,bucket,band,n_markets,grey,avg_paid_c,realized_pct,bias_pp,ci_lo,ci_hi,vw_paid_c,vw_realized_pct,qty_contracts,n_trades,spread_med_c,spread_n_markets,fee_c,cost_c,exceeds_cost,max_single_loss_c
sports_game,yes,50-65,5-10m,204,False,57.54,61.27,-3.74,-9.78,2.92,56.71,73.34,1563105.8,13454,4.2,245,1.71,5.91,False,48.6
sports_game,yes,65-80,5-10m,317,False,73.79,82.97,-9.18,-12.98,-5.04,73.32,92.21,3881843.2,28510,3.3,370,1.35,4.65,True,35.0
sports_game,yes,80-90,5-10m,509,False,85.57,92.93,-7.36,-9.52,-5.14,85.03,96.66,6744614.8,56004,2.8,602,0.86,3.67,True,20.0
sports_game,yes,90-95,5-10m,662,False,92.39,95.77,-3.38,-4.87,-1.78,92.29,98.44,8251806.2,51916,1.96,682,0.49,2.45,True,10.0
sports_game,yes,95-99,5-10m,921,False,97.71,98.7,-0.99,-1.67,-0.23,97.73,99.36,18399177.1,93057,1.33,760,0.16,1.49,False,5.0
sports_game,yes,01-05,gt60m,577,False,2.45,6.41,-3.97,-5.89,-2.02,2.35,3.11,19580074.9,59008,1.34,681,0.17,1.5,True,98.6
sports_game,yes,05-10,gt60m,1034,False,7.38,10.54,-3.16,-4.89,-1.34,7.02,8.91,25957404.8,160348,1.74,1226,0.48,2.22,True,94.9
sports_game,yes,10-20,gt60m,1903,False,15.15,17.39,-2.24,-3.75,-0.63,14.86,14.98,62636307.3,458178,2.29,2251,0.9,3.19,False,90.0
sports_game,yes,20-35,gt60m,2927,False,27.58,28.8,-1.22,-2.85,0.23,27.44,29.14,134625082.6,1090202,3.61,3537,1.4,5.01,False,80.0
sports_game,yes,35-50,gt60m,3275,False,42.16,40.37,1.8,0.16,3.5,42.58,43.01,190846041.7,1503936,19.42,4797,1.71,21.12,False,65.0
sports_game,yes,45-55(null),gt60m,3039,False,49.49,46.17,3.32,1.64,4.97,49.69,48.98,152503984.1,1176891,15.76,9206,1.75,17.51,False,55.0
sports_game,yes,50-65,gt60m,3159,False,56.48,51.82,4.66,3.07,6.31,56.21,52.08,203380858.3,1582007,12.11,4409,1.72,13.83,False,50.0
sports_game,yes,65-80,gt60m,2792,False,71.11,60.82,10.29,8.38,11.93,70.91,69.64,100492202.1,838746,3.17,2640,1.44,4.61,True,35.0
sports_game,yes,80-90,gt60m,1976,False,83.73,71.86,11.87,9.92,13.61,84.33,82.36,47802443.7,347375,2.27,1580,0.95,3.23,True,20.0
sports_game,yes,90-95,gt60m,1178,False,91.69,81.41,10.28,8.14,12.41,92.02,86.87,19969871.6,124146,1.96,872,0.53,2.5,True,10.0
sports_game,yes,95-99,gt60m,729,False,96.64,88.61,8.03,5.7,10.38,96.95,91.02,16583458.1,74391,1.65,487,0.23,1.88,True,5.0
sports_game,yes,01-05,lt2m,1019,False,1.11,0.0,1.11,1.09,1.14,1.14,0.0,4402672.8,8321,1.42,191,0.08,1.49,False,
sports_game,yes,05-10,lt2m,98,False,6.41,0.0,6.41,6.21,6.64,6.51,0.0,123466.6,1622,3.29,121,0.42,3.71,True,
sports_game,yes,10-20,lt2m,53,False,12.76,0.0,12.76,12.04,13.56,13.43,0.0,72617.9,642,4.57,73,0.78,5.35,True,
sports_game,yes,20-35,lt2m,17,True,25.24,0.0,25.24,24.0,26.63,26.64,0.0,30154.4,428,2.78,60,1.32,4.1,False,
sports_game,yes,35-50,lt2m,10,True,43.07,20.0,23.07,-4.45,42.87,43.4,2.91,17583.2,322,3.0,40,1.72,4.72,False,54.0
sports_game,yes,45-55(null),lt2m,9,True,49.57,33.33,16.24,-16.08,48.37,46.68,10.32,10527.6,142,2.5,76,1.75,4.25,False,50.9
sports_game,yes,50-65,lt2m,11,True,56.54,45.45,11.09,-16.52,37.74,56.92,91.0,17329.0,244,2.0,36,1.72,3.72,False,46.2
